index,mapped_rxn
10,[cH:2]1[c:7]([CH:8]=[CH2:9])[cH:27][cH:28][c:13]([CH:14]=[CH2:15])[cH:25]1.Br[c:16]1[cH:17][cH:18][c:19]([C:20](=[O:1])[OH:22])[cH:23][cH:24]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][c:13](/[CH:14]=[CH:15]/[c:16]3[cH:17][cH:18][c:19]([C:20](=[O:21])[OH:22])[cH:23][cH:24]3)[cH:25][cH:26]2)[cH:27][cH:28]1
11,[CH2:8]=[CH:9][c:10]1[cH:11][cH:12][c:13]([CH:14]=[CH2:15])[cH:25][cH:26]1.I[c:7]1[cH:6][cH:5][c:4]([N+:2](=[O:1])[O-:3])[cH:28][cH:27]1.I[c:16]1[cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[cH:23][cH:24]1>>[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][c:13](/[CH:14]=[CH:15]/[c:16]3[cH:17][cH:18][c:19]([N+:20](=[O:21])[O-:22])[cH:23][cH:24]3)[cH:25][cH:26]2)[cH:27][cH:28]1
12,Br[c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12.[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9]>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]\[c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12
13,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].I[c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])/[CH:8]=[CH:9]\[c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12
14,Br[c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:22]2[n:23][cH:24][n:25][n:26]12.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:22]2[n:23][cH:24][n:25][n:26]12
15,Br[c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:22]2[n:23][cH:24][n:25][n:26]12.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:22]2[n:23][cH:24][n:25][n:26]12
16,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:17][c:18]1[C:19]#[N:20].OB(O)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[C:19]#[N:20]
17,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:17][c:18]1[C:19]#[N:20].OB(O)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[C:19]#[N:20]
18,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:23][c:24]1[Br:25].OB(O)[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2-[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:23][c:24]1[Br:25]
19,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:23][c:24]1[Br:25].OB(O)[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1-[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2-[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:23][c:24]1[Br:25]
20,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:23][c:24]1[Br:25].OB(O)[c:11]1[cH:12][cH:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[cH:21][cH:22]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[cH:21][cH:22]2)[cH:23][c:24]1[Br:25]
21,[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:23][c:24]1[Br:25].OB(O)[c:11]1[cH:12][cH:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[cH:21][cH:22]1>>[CH3:1][O:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[cH:21][cH:22]2)[cH:23][c:24]1[Br:25]
22,[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([CH2:6][CH3:7])[CH2:8][O:9][C:10](=[O:11])[CH:18]=[CH2:12]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([CH2:6][CH3:7])[CH2:8][O:9][C:10](=[O:11])/[CH:12]=[CH:13]/[c:14]1[cH:15][cH:16][cH:17][c:18]([C:19](=[O:20])[O:21][CH2:22][CH3:23])[cH:24]1
23,[cH:9]1[cH:10][c:12]([CH:11]=[CH2:14])[n:13][cH:18][cH:19]1.[CH2:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][n:8]1>>[CH:1](=[CH:2]/[c:3]1[cH:4][cH:5][cH:6][cH:7][n:8]1)\[c:9]1[cH:10][cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1
24,[CH3:1][C:3]([O:2][C:9]([CH:8]=[CH2:7])=[O:10])([CH3:15])[CH3:16]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH:8][C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[cH:16][cH:17]1
25,[cH:1]1[cH:13][c:12]([CH:11]=[CH2:10])[cH:19][cH:18][c:15]1[O:3][CH3:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([CH:10]=[CH:11][c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][cH:19]2)[cH:20][cH:21]1
26,O[C:2]([CH3:1])([CH3:3])[CH:4]=[CH2:5].Br[c:6]1[cH:7][cH:8][c:9]2[c:10]([C:11](=[O:12])[C:13]([F:14])([F:15])[F:16])[cH:17][n:18]([CH3:19])[c:20]2[cH:21]1>>[CH2:1]=[C:2]([CH3:3])/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9]2[c:10]([C:11](=[O:12])[C:13]([F:14])([F:15])[F:16])[cH:17][n:18]([CH3:19])[c:20]2[cH:21]1
27,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]=[CH2:7])[cH:24][c:25]([O:26][CH3:27])[cH:28]1.I[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15](=[O:16])[c:17]1[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[NH:14][C:15](=[O:16])[c:17]2[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]2)[cH:24][c:25]([O:26][CH3:27])[cH:28]1
28,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]=[CH2:7])[cH:20][c:21]([O:22][CH3:23])[cH:24]1.I[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15](=[O:16])[CH:17]([CH3:18])[CH3:19]>>[CH3:1][O:2][c:3]1[cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[NH:14][C:15](=[O:16])[CH:17]([CH3:18])[CH3:19])[cH:20][c:21]([O:22][CH3:23])[cH:24]1
29,Br[c:15]1[cH:16][cH:17][cH:18][c:19]2[n:20][cH:21][cH:22][cH:23][c:24]12.[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@H:9]3[O:10][C:11](=[O:12])[C:13](=[CH2:14])[C@H:25]3[CH2:26][C@@H:27]12>>[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@H:9]3[O:10][C:11](=[O:12])/[C:13](=[CH:14]/[c:15]4[cH:16][cH:17][cH:18][c:19]5[n:20][cH:21][cH:22][cH:23][c:24]45)[C@H:25]3[CH2:26][C@@H:27]12
30,Br[c:15]1[cH:16][cH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]2[cH:24]1.[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@H:9]3[O:10][C:11](=[O:12])[C:13](=[CH2:14])[C@H:25]3[CH2:26][C@@H:27]12>>[CH2:1]=[C:2]1[CH2:3][CH2:4][CH2:5][C@:6]2([CH3:7])[CH2:8][C@H:9]3[O:10][C:11](=[O:12])/[C:13](=[CH:14]/[c:15]4[cH:16][cH:17][c:18]5[n:19][cH:20][cH:21][cH:22][c:23]5[cH:24]4)[C@H:25]3[CH2:26][C@@H:27]12
