index,mapped_rxn
981,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
982,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
983,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
984,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
985,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
986,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
987,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1
988,[CH2:20]=[CH:21][C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28].Br[c:19]1[c:10]([S:7]([c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:30][cH:29]2)(=[O:8])=[O:9])[n:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[n:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[cH:18][c:19]2/[CH:20]=[CH:21]/[C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[cH:29][cH:30]1
989,[CH2:15]=[CH:16][C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23].Br[c:14]1[c:13]2[cH:12][cH:11][c:10]([S:7]([c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:30][cH:29]3)(=[O:8])=[O:9])[n:28][c:27]2[cH:26][cH:25][cH:24]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13]3[c:14](/[CH:15]=[CH:16]/[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25][cH:26][c:27]3[n:28]2)[cH:29][cH:30]1
990,[CH2:16]=[CH:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24].Br[c:15]1[cH:14][c:13]2[cH:12][cH:11][c:10]([S:7]([c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:30][cH:29]3)(=[O:8])=[O:9])[n:28][c:27]2[cH:26][cH:25]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13]3[cH:14][c:15](/[CH:16]=[CH:17]/[C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[cH:25][cH:26][c:27]3[n:28]2)[cH:29][cH:30]1
991,[CH2:18]=[CH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26].Br[c:17]1[cH:16][cH:15][cH:14][c:13]2[cH:12][cH:11][c:10]([S:7]([c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:30][cH:29]3)(=[O:8])=[O:9])[n:28][c:27]21>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13]3[cH:14][cH:15][cH:16][c:17](/[CH:18]=[CH:19]/[C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[c:27]3[n:28]2)[cH:29][cH:30]1
992,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][cH:25][c:26]3[n:27]2)[cH:28]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][cH:25][c:26]3[n:27]2)[cH:28]1
993,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]3[n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][c:23]([Cl:24])[cH:25][cH:26][c:27]3[n:28]2)[cH:29]1
994,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[c:27]3[n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[c:27]3[n:28]2)[cH:29]1
995,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][c:25]([Cl:26])[c:27]3[n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][c:21]3[cH:22][cH:23][cH:24][c:25]([Cl:26])[c:27]3[n:28]2)[cH:29]1
996,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].Br[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][n:23]2)[cH:24]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][cH:13][c:14]([S:15](=[O:16])(=[O:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][n:23]2)[cH:24]1
997,[CH2:14]=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.Br[c:13]1[cH:12][cH:11][c:10]([C:8](/[CH:7]=[CH:6]/[c:5]2[cH:4][cH:3][c:2]([CH3:1])[cH:25][cH:24]2)=[O:9])[cH:23][cH:22]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[C:8](=[O:9])[c:10]2[cH:11][cH:12][c:13](/[CH:14]=[CH:15]/[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[cH:22][cH:23]2)[cH:24][cH:25]1
998,Br[c:3]1[cH:4][cH:1][c:24]2[s:7][c:8]3[cH:9][cH:10][c:11](Br)[cH:20][c:21]3[c:22]2[cH:23]1.[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][n:17][cH:18][cH:19]1>>[CH:1](=[CH:2][c:3]1[cH:4][cH:5][c:6]2[s:7][c:8]3[cH:9][cH:10][c:11]([CH:12]=[CH:13][c:14]4[cH:15][cH:16][n:17][cH:18][cH:19]4)[cH:20][c:21]3[c:22]2[cH:23]1)[c:24]1[cH:25][cH:26][n:27][cH:28][cH:29]1
999,Br[c:3]1[cH:4][cH:1][c:24]2[s:7][c:8]3[cH:9][cH:10][c:11](Br)[cH:20][c:21]3[c:22]2[cH:23]1.[CH2:12]=[CH:13][c:14]1[cH:15][cH:16][n:17][cH:18][cH:19]1>>[CH:1](=[CH:2][c:3]1[cH:4][cH:5][c:6]2[s:7][c:8]3[cH:9][cH:10][c:11]([CH:12]=[CH:13][c:14]4[cH:15][cH:16][n:17][cH:18][cH:19]4)[cH:20][c:21]3[c:22]2[cH:23]1)[c:24]1[cH:25][cH:26][n:27][cH:28][cH:29]1
1000,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[N:13]([CH3:14])[C:15](=[O:16])[C:17]2=[O:18]>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[N:13]([CH3:14])[C:15](=[O:16])[C:17]2=[O:18]
1001,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]2[c:11]([c:12]1[CH3:13])[N:14]([CH3:15])[C:16](=[O:17])[C:18]2=[O:19]>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]2[c:11]([c:12]1[CH3:13])[N:14]([CH3:15])[C:16](=[O:17])[C:18]2=[O:19]
1002,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]2[c:11]([c:12]1[CH3:13])[N:14]([CH2:15][c:16]1[cH:17][cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][cH:25]1)[C:26](=[O:27])[C:28]2=[O:29]>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]2[c:11]([c:12]1[CH3:13])[N:14]([CH2:15][c:16]1[cH:17][cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][cH:25]1)[C:26](=[O:27])[C:28]2=[O:29]
1003,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH3:18]>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH3:18]
1004,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]1
1005,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][cH:28]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][cH:28]1
1006,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[C:13](=[O:14])[C:15](=[O:16])[N:17]2[CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
1007,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([CH3:11])[c:12]2[c:13]1[C:14](=[O:15])[C:16](=[O:17])[N:18]2[CH2:19][c:20]1[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([CH3:11])[c:12]2[c:13]1[C:14](=[O:15])[C:16](=[O:17])[N:18]2[CH2:19][c:20]1[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]1
1008,[CH2:18]=[CH:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.Br[c:17]1[cH:16][c:15]2[c:14]3[c:5]([cH:4][c:3]([C:2]#[N:1])[c:28]2[cH:27][cH:26]1)[cH:6][cH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]13>>[N:1]#[C:2][c:3]1[cH:4][c:5]2[cH:6][cH:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]2[c:15]2[cH:16][c:17](/[CH:18]=[CH:19]/[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[cH:26][cH:27][c:28]12
1009,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].I[c:7]1[c:8]([C:9]([F:10])([F:11])[F:12])[n:13][o:14][c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH:6][c:7]1[c:8]([C:9]([F:10])([F:11])[F:12])[n:13][o:14][c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1
1010,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.O=S(=O)(Cl)[c:8]1[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6][cH:7]1>>[F:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][cH:7][c:8]1/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1
1011,[F:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7]([CH:8]=[CH2:9])[c:17]([F:18])[c:19]1[F:20].O=S(=O)(Cl)[c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1>>[F:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]2)[c:17]([F:18])[c:19]1[F:20]
1012,[F:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH2:7])[cH:15][cH:16]1.O=S(=O)(Cl)[c:8]1[cH:9][cH:10][c:11]([I:12])[cH:13][cH:14]1>>[F:1][c:2]1[cH:3][cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][c:11]([I:12])[cH:13][cH:14]2)[cH:15][cH:16]1
1013,[F:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7]([CH:8]=[CH2:9])[c:17]([F:18])[c:19]1[F:20].O=S(=O)(Cl)[c:10]1[cH:11][cH:12][c:13]([I:14])[cH:15][cH:16]1>>[F:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][c:13]([I:14])[cH:15][cH:16]2)[c:17]([F:18])[c:19]1[F:20]
1014,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].Br[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20]
1015,[CH2:10]=[CH:11][C:12](=[O:13])[O:14][CH3:15].I[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][cH:6][c:7]1[CH3:8]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7]([CH3:8])[c:9]1/[CH:10]=[CH:11]/[C:12](=[O:13])[O:14][CH3:15]
1016,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][n:11][c:12](-[c:13]3[cH:14][cH:15][c:16]([CH:17]=[CH2:18])[cH:34][cH:35]3)[o:36]2)[cH:37][cH:38]1.Br[c:19]1[cH:20][cH:21][c:22]2[c:23]3[c:24]([cH:25][cH:26][cH:27][c:28]13)[C:29](=[O:30])[O:31][C:32]2=[O:33]>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][n:11][c:12](-[c:13]3[cH:14][cH:15][c:16]([CH:17]=[CH:18][c:19]4[cH:20][cH:21][c:22]5[c:23]6[c:24]([cH:25][cH:26][cH:27][c:28]46)[C:29](=[O:30])[O:31][C:32]5=[O:33])[cH:34][cH:35]3)[o:36]2)[cH:37][cH:38]1
1017,I[CH:19]([CH3:20])[CH2:21][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:10][C:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)=[CH2:18]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)=[CH:18][CH:19]([CH3:20])[CH2:21]2)[cH:22][cH:23]1
1018,I[CH:19]([CH3:20])[CH2:21][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:10][C:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)=[CH2:18]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)=[CH:18][CH:19]([CH3:20])[CH2:21]2)[cH:22][cH:23]1
1019,I[CH2:11][CH2:10][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:21][C:13](=[CH2:12])[c:14]1[cH:15][cH:16][cH:17][c:18]([Br:19])[cH:20]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][CH2:11][CH:12]=[C:13]([c:14]3[cH:15][cH:16][cH:17][c:18]([Br:19])[cH:20]3)[CH2:21]2)[cH:22][cH:23]1
1020,I[CH2:11][CH2:10][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:21][C:13](=[CH2:12])[c:14]1[cH:15][cH:16][cH:17][c:18]([Br:19])[cH:20]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][CH2:11][CH:12]=[C:13]([c:14]3[cH:15][cH:16][cH:17][c:18]([Br:19])[cH:20]3)[CH2:21]2)[cH:22][cH:23]1
1021,I[CH2:11][CH2:10][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:21][C:13](=[CH2:12])[c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][CH2:11][CH:12]=[C:13]([c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]3)[CH2:21]2)[cH:22][cH:23]1
1022,I[CH2:11][CH2:10][N:9]([S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:23][cH:22]1)(=[O:7])=[O:8])[CH2:21][C:13](=[CH2:12])[c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][CH2:11][CH:12]=[C:13]([c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]3)[CH2:21]2)[cH:22][cH:23]1
1023,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].Br[c:8]1[cH:9][c:10]([O:11][CH3:12])[c:13]2[o:14][c:15](-[c:16]3[cH:17][cH:18][c:19]([O:20][CH2:21][c:22]4[cH:23][cH:24][cH:25][cH:26][cH:27]4)[c:28]([O:29][CH3:30])[cH:31]3)[cH:32][c:33]2[cH:34]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][c:10]([O:11][CH3:12])[c:13]2[o:14][c:15](-[c:16]3[cH:17][cH:18][c:19]([O:20][CH2:21][c:22]4[cH:23][cH:24][cH:25][cH:26][cH:27]4)[c:28]([O:29][CH3:30])[cH:31]3)[cH:32][c:33]2[cH:34]1
1024,Br[c:13]1[c:8]([S:7]/[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[CH:14]\[c:15]2[cH:16][cH:17][c:18]([C:19]#[N:20])[cH:21][cH:22]2)[cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[s:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[c:14]1-[c:15]1[cH:16][cH:17][c:18]([C:19]#[N:20])[cH:21][cH:22]1
1025,Br[c:13]1[c:8]([S:7]/[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[CH:14]\[c:15]2[cH:16][cH:17][cH:18][c:19]([F:20])[cH:21]2)[cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[s:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[c:14]1-[c:15]1[cH:16][cH:17][cH:18][c:19]([F:20])[cH:21]1
1026,Br[c:13]1[c:8]([S:7]/[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[CH:14]\[c:15]2[cH:16][cH:17][c:18]([O:19][CH3:20])[cH:21][cH:22]2)[cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[s:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[c:14]1-[c:15]1[cH:16][cH:17][c:18]([O:19][CH3:20])[cH:21][cH:22]1
1027,[CH3:1][C:2]1([CH3:3])[O:4][C@H:5]2[O:6][C@H:7]([CH:8]=[CH2:9])[C@H:21]([OH:22])[C@H:23]2[O:24]1.Br[c:10]1[cH:11][cH:12][c:13]2[o:14][c:15](=[O:16])[cH:17][cH:18][c:19]2[cH:20]1>>[CH3:1][C:2]1([CH3:3])[O:4][C@H:5]2[O:6][C@H:7](/[CH:8]=[CH:9]/[c:10]3[cH:11][cH:12][c:13]4[o:14][c:15](=[O:16])[cH:17][cH:18][c:19]4[cH:20]3)[C@H:21]([OH:22])[C@H:23]2[O:24]1
1028,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([CH:15]=[CH2:16])[cH:27][cH:28]1.I[c:8]1[cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:30][cH:29]1.I[c:17]1[cH:18][cH:19][c:20]([C:21](=[O:22])[O:23][CH3:24])[cH:25][cH:26]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14](/[CH:15]=[CH:16]/[c:17]3[cH:18][cH:19][c:20]([C:21](=[O:22])[O:23][CH3:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[cH:29][cH:30]1
1029,[CH2:15]=[CH:16][c:17]1[cH:18][cH:19][c:20]([O:21][C:22]([CH3:23])=[O:24])[cH:25][cH:26]1.[CH3:1][C:2](=[O:3])[O:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH2:10])[cH:29][cH:30]1.I[c:11]1[cH:12][cH:13][c:14](I)[cH:27][cH:28]1>>[CH3:1][C:2](=[O:3])[O:4][c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14](/[CH:15]=[CH:16]/[c:17]3[cH:18][cH:19][c:20]([O:21][C:22]([CH3:23])=[O:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[cH:29][cH:30]1
